site_date_key,site_number,sample_date,sample_trip,water_depth,temperature,salinity,lat,lon,notes,extra bags
a4b3f9e22405245f,58,2024-05-12T17:36:00Z,2405,28.5,28.1,23.2,29.11752,-90.184861,,
1687127d24050c74,82,2024-05-12T17:32:00Z,2405,32,29.7,23.6,29.12887,-90.177045,,
a8ddf58e2405021e,83,2024-05-12T19:18:00Z,2405,25.5,27.6,24.7,29.13317767,-90.17571633,,
c338e967240511e8,118,2024-05-12T19:34:00Z,2405,38.5,28.8,23.7,29.12991417,-90.17285567,,
81e38c8824051a86,102,2024-05-12T20:12:00Z,2405,35,29.4,24.7,29.126417,-90.167874,,
12eaf36a24052177,55,2024-05-13T14:57:00Z,2405,35.5,26.9,23.6,29.14608917,-90.2280425,,
573ac9ad240523b7,41,2024-05-13T15:19:00Z,2405,33,26,23.5,29.14171483,-90.23501917,,
e367ad5f24051eaa,23,2024-05-13T15:49:00Z,2405,31,26.3,23,29.14367483,-90.237111,,
3b830f8324050f6c,107,2024-05-13T16:03:00Z,2405,27.5,26.2,23.3,29.1390705,-90.23983,,
15cc752024050f18,104,2024-05-13T16:31:00Z,2405,30.5,26.5,22.9,29.14038667,-90.24185617,,
3539cdfb240513c1,110,2024-05-13T16:55:00Z,2405,22,29.2,24.4,29.13399533,-90.239862,,
e3a5cc9f240525c6,111,2024-05-13T17:40:00Z,2405,33.5,26.8,22.9,29.13811683,-90.2361535,,
cc721c56240500f6,106,2024-05-13T17:59:00Z,2405,40.5,26.8,24,29.13891,-90.23241433,,
faea7119240524ef,26,2024-05-13T18:21:00Z,2405,38.5,26.9,24.3,29.13544133,-90.230227,,
82552d7d24050d6d,36,2024-05-13T19:14:00Z,2405,33,27.4,24,29.13479467,-90.231726,,
9f12d1b624050ee0,24,2024-05-13T19:22:00Z,2405,30.5,27.3,24,29.12885517,-90.2291665,,
819d284624051b32,31,2024-05-13T20:06:00Z,2405,22,28,23.9,29.12885783,-90.22917433,,
863c5e5d240504bf,108,2024-05-13T20:22:00Z,2405,15.5,28,23.6,29.12885917,-90.22918517,,
59504b702405057e,96,2024-05-13T20:56:00Z,2405,27,28.2,24,29.12885917,-90.22918517,,
c579f0a024051b44,20,2024-05-14T13:33:00Z,2405,16.5,24.7,19,29.10583,-90.203202,"100 percent mangrove, mostly pneumatophores",
f1aaf32624051132,3,2024-05-14T13:36:00Z,2405,36.5,24.1,19.1,29.10376583,-90.20068083,,
a51fa39f24050593,90,2024-05-14T15:01:00Z,2405,24,24,22,29.11847083,-90.21841533,,
9a19f820240520ba,19,2024-05-14T15:40:00Z,2405,30.5,25.4,22,29.12077283,-90.223206,,
30373b6524051e83,10,2024-05-14T15:53:00Z,2405,312,26,21.8,29.121996,-90.22471183,,
c1af30d624051546,98,2024-05-14T16:16:00Z,2405,36,26,21.4,29.1265405,-90.22525917,,
4362f6ef24052294,105,2024-05-14T16:35:00Z,2405,44.5,26.2,21.7,29.12666217,-90.2237615,,
1db80efa240515bb,92,2024-05-14T16:59:00Z,2405,24,26.2,22,29.11214483,-90.22158917,,
d363ec0c24051b24,2,2024-05-14T18:06:00Z,2405,22,26.3,21.9,29.11499083,-90.2209285,,
51bca13524051c48,11,2024-05-14T18:25:00Z,2405,25.5,25.7,19.1,29.114068,-90.22461,,
27aca2f124051810,5,2024-05-14T18:59:00Z,2405,20.5,26.7,20.7,29.11203383,-90.22494383,,
56c3eff72405177a,116,2024-05-14T20:06:00Z,2405,30.5,27.1,20.7,29.10351017,-90.23891917,,
443b08e824050b29,91,2024-05-14T20:51:00Z,2405,21.5,27.4,22.2,29.10836367,-90.2320595,,
a0265b8b240507e3,16,2024-05-14T20:56:00Z,2405,33,27.4,22,29.099532,-90.237551,lost origional site data. 100 mangrove w trees,
39554c9d24050381,115,2024-05-14T21:04:00Z,2405,10,28.5,21.3,29.114543,-90.22905667,,
